"Station","Date_UTC","Wavelet","Data.D1","Data.D2","Data.D3","Data.D4","Data.D5","Data.D6","Data.D7","Data.D8","Data.D9","Data.D10","Data.S10"
"FRN","2003-10-29T03:22:00","dBN",-0.668334960937898,-0.509132266045147,-1.10396593593476,-2.18721503383439,-2.2903583245732,-0.369602972594014,15.525145213955,-20.4948257319626,8.81132737148529,-10.1609274210579,-2.4521099384045
"FRN","2003-10-29T03:23:00","dBN",0.190576171875089,-0.389491438866217,-1.02656250481369,-2.49349015660012,-1.88682060049601,-0.534800286922674,15.5902133409671,-20.9472410162015,9.23197685991524,-10.0789125275437,-2.55544784121644
"FRN","2003-10-29T03:24:00","dBN",0.515844726562893,-0.176176238060292,-0.62563883758198,-2.62658143220122,-1.4421526199987,-0.693444209280789,15.6497258756542,-21.3984375286437,9.65268988076838,-9.99654905062312,-2.65928056649659
"FRN","2003-10-29T03:25:00","dBN",-0.585937500000417,0.0220600426198508,-0.103729248806494,-2.57657087163726,-0.961246736758687,-0.846194433932219,15.7038167566505,-21.848178216617,10.0734265560611,-9.91383853538625,-2.76360781209229
"FRN","2003-10-29T03:26:00","dBN",-0.137426757812575,0.568158471585111,0.31170904212691,-2.3492978312879,-0.450658782184719,-0.993810360178012,15.7526158233531,-22.2962246956067,10.494146898075,-9.83078253573961,-2.86842927222662
"FRN","2003-10-29T03:27:00","dBN",0.670190429687889,0.837027305365515,0.468257602341432,-1.96758814950216,0.0816525022223494,-1.13713536568015,15.7962494429126,-22.7423373434682,10.9148108272257,-9.74738261348575,-2.97374463751267
"FRN","2003-10-29T03:28:00","dBN",-0.277490234375116,0.0805615782737626,0.371774554700063,-1.4652110625707,0.626690104793735,-1.277074037136,15.8348401661494,-23.1862753258853,11.3353781888764,-9.66364033776702,-3.07955359495225
"FRN","2003-10-29T03:29:00","dBN",-0.143408203125192,-0.827154564858442,0.160217919758368,-0.880939492261606,1.17473783571332,-1.41455887128643,15.8685063483556,-23.6277966273682,11.7558087679727,-9.57955728485549,-3.18585582793679
"FRN","2003-10-29T03:30:00","dBN",-0.0920166015624095,-0.721858811379346,-0.0122539575429218,-0.257632346103663,1.71530573395038,-1.55052432690343,15.8973622670618,-24.0666582030415,12.1760622996832,-9.49513503779871,-3.29265101625338
"FRN","2003-10-29T03:31:00","dBN",0.276367187500077,0.0709573328494844,-0.0649167786891521,0.361663128402378,2.23712619383951,-1.68588295741271,15.9215175126293,-24.5026160782725,12.59609848099,-9.41037518565387,-3.39993883606986
"FRN","2003-10-29T03:32:00","dBN",-0.161499023437594,0.545227915049271,-0.0172266701935905,0.938036662908478,2.72843097571455,-1.82149950863392,15.9410762525392,-24.9354253045725,13.0158769829727,-9.32527932231259,-3.50771895991903
"FRN","2003-10-29T03:33:00","dBN",0.145922851562619,0.372749263048838,0.0543219605357899,1.43702153077954,3.17734752131361,-1.95817589597992,15.9561351643325,-25.3648397502291,13.4353574564662,-9.23984904501816,-3.61599105669519
"FRN","2003-10-29T03:34:00","dBN",-0.0491943359375741,0.0052230417729835,0.0851152885121867,1.83112127520001,3.57255008888483,-2.096641492384,15.9667791282849,-25.7906117817045,13.8544995320628,-9.15408595292694,-3.72475479164737
"FRN","2003-10-29T03:35:00","dBN",-0.344604492187671,-0.134624052048061,0.0776640351132503,2.10338681319471,3.90386570759148,-2.23753463441451,15.9730772783409,-26.2124920087991,14.2732628254822,-9.06799164577702,-3.83400982637851
"FRN","2003-10-29T03:36:00","dBN",0.620605468750346,-0.233063036203911,0.0752900418402173,2.24490651555111,4.16251628526109,-2.38138976223392,15.9750803234798,-26.6302292358531,14.6916069409148,-8.98156772253684,-3.94375581885105
"FRN","2003-10-29T03:37:00","dBN",-0.290893554687622,-0.362348973751497,0.0971463859052095,2.25345238252841,4.34134581713748,-2.52863327447188,15.9728184370232,-27.0435704930258,15.1094914770791,-8.89481578023559,-4.0539924233825
"FRN","2003-10-29T03:38:00","dBN",-0.354272460937778,-0.0411735415457401,0.13587980706231,2.13559426632571,4.43508747175588,-2.67957410874256,15.9663001878308,-27.4522609569104,15.5268760387453,-8.80773741281665,-4.16471929064786
"FRN","2003-10-29T03:39:00","dBN",0.418579101562801,0.569739043713363,0.154150725716579,1.90438840770026,4.44062099979897,-2.83439684691093,15.95551250631,-27.8560439020118,15.9437202421061,-8.72033421017442,-4.2759360676913
"FRN","2003-10-29T03:40:00","dBN",0.0848632812500134,0.524732077122328,0.122587801728765,1.57812006528662,4.35736018445965,-2.99315642135575,15.9404201661167,-28.2546607179969,16.3599837193468,-8.63260775791319,-4.38764239792663
"FRN","2003-10-29T03:41:00","dBN",-0.252416992187645,-0.241034942865628,0.0754830517953351,1.18198324378612,4.18740909198863,-3.15576678342391,15.9209658278089,-28.647851060573,16.7756261225946,-8.54455963766151,-4.49983792114576
"FRN","2003-10-29T03:42:00","dBN",0.112451171875079,-0.707529515028828,0.0523680908388245,0.745830608142134,3.93526238457625,-3.32199385281868,15.8970709014599,-29.0353532117561,17.1906071238197,-8.45619142745828,-4.61252227353571
"FRN","2003-10-29T03:43:00","dBN",-0.200903320312604,-0.336731410027115,0.0574966080182141,0.300781786432477,3.607399526378,-3.49146018274666,15.86863471274,-29.4169043451557,17.6048864145167,-8.36750470204706,-4.72569508768342
"FRN","2003-10-29T03:44:00","dBN",0.174707031250073,0.299200862646282,0.0555785252873774,-0.121570456067759,3.21187994504057,-3.66365518116726,15.8355331845192,-29.7922405946234,18.0184237088063,-8.2785010329842,-4.83935599259512
"FRN","2003-10-29T03:45:00","dBN",0.192749023437648,0.485760861635904,-0.0306865752587146,-0.492913785848746,2.75802413835193,-3.83794599330138,15.7976172494666,-30.1610970628925,18.4311787466177,-8.18918198837484,-4.95350461372279
